"language","aid","item","kb_current_time","tag","pop_type","sticker_id","session_id","channel","package_name"
"en_US","79c8b107eef38f2c1da6ecdff26d332a9884dab3","pop_show","1543267735","""no""","""sticker""","""7a236f47-a494-4cb2-b8e4-9ddc2ab78ac5""","""stickerhbncVgZuAFTEGogQgc6rUe20181127025438359""","""kikatech.com""","""com.whatsapp"""
"en_US","79c8b107eef38f2c1da6ecdff26d332a9884dab3","pop_show","1543273819","""me""","""sticker""","""1495711""","""kIkaCeReS0003LinNuYSkMVCznSBN5mvMcA20181127071019960""","""giphy.com""","""com.whatsapp"""
"en_US","79c8b107eef38f2c1da6ecdff26d332a9884dab3","pop_show","1543273899","""chill""","""magic""","""2155976""","""kIkaCeReS0003h8qJZzBTa3WiKFWPWG55Yo20181125225512616""",,"""com.whatsapp"""
"en_US","79c8b107eef38f2c1da6ecdff26d332a9884dab3","pop_show","1543273941","""emm""","""magic""","""2155991""","""kIkaCeReS0003AoFaWL46WCEdhppDwiF6t720181127064025802""",,"""com.whatsapp"""
"en_US","79c8b107eef38f2c1da6ecdff26d332a9884dab3","pop_show","1543274031","""up""","""sticker""","""04318d8a-d297-45b1-8aa0-2515d1e344f2""","""stickersRfBLNAf7FFXtRhFizE5w920181127064903924""","""tenor.com""","""com.whatsapp"""
"en_US","79c8b107eef38f2c1da6ecdff26d332a9884dab3","pop_show","1543274115","""pap""","""magic""","""2155991""","""kIkaCeReS0003Dg98NKsjVDANeMpH8yZcTA20181126035239742""",,"""com.whatsapp"""
"en_US","79c8b107eef38f2c1da6ecdff26d332a9884dab3","pop_show","1543274119","""sleep""","""magic""","""88def422-b1d3-41f9-a360-71db6262929b""","""stickerJXkycLW7NBobNipjVanEEf20181121053504782""",,"""com.whatsapp"""
"en_US","79c8b107eef38f2c1da6ecdff26d332a9884dab3","pop_show","1543270605","""why""","""sticker""","""16c560a4-1282-4263-80a8-0c9f0921dc6f""","""stickerantFNjVqTcULY8DTXN7kyY20181120054630324""","""kikatech.com""","""com.whatsapp"""
"en_US","79c8b107eef38f2c1da6ecdff26d332a9884dab3","pop_show","1543270613","""why""","""sticker""","""1568078""","""kIkaCeReS0003dtds5hW4p9hMEYNu96BTMo20181127061644976""","""kikatech.com""","""com.whatsapp"""
"en_US","79c8b107eef38f2c1da6ecdff26d332a9884dab3","pop_show","1543270753","""ur""","""magic""","""1568634""","""kIkaCeReS0003mVeFciv5DAVVv6TLA3YwGX20181127060003847""",,"""com.whatsapp"""
"en_US","79c8b107eef38f2c1da6ecdff26d332a9884dab3","pop_show","1543270759","""ur""","""magic""","""2155599""","""kIkaCeReS0003aKcN6ZKg77WqmQFxP6Zeu420181127061915605""",,"""com.whatsapp"""
"en_US","79c8b107eef38f2c1da6ecdff26d332a9884dab3","pop_show","1543268384","""not really""","""magic""","""e81843b2-924d-42c6-b761-6cdc935efb98""","""stickerBWHBAyaLqJRJgKM9nCKxw320181127053945830""",,"""com.whatsapp"""
"en_US","79c8b107eef38f2c1da6ecdff26d332a9884dab3","pop_show","1543269374","""sh""","""sticker""","""xT0xekfKho5IvkN1vy""","""stickerL2ZNei3djEAHHkrDUqkrXa20181127055611576""","""giphy.com""","""com.whatsapp"""
"en_US","79c8b107eef38f2c1da6ecdff26d332a9884dab3","pop_show","1543270236","""so""","""sticker""","""2156682""","""kIkaCeReS000344hK7FxC8ULjBrL9GMmdgV20181127052235339""","""giphy.com""","""com.whatsapp"""
"en_GB","92fcd50381e21804171d4388eb76ecfc8f2b6601","pop_show","1543281087","""he""","""magic""","""342f6552-0b73-460c-9647-fe5d93be9127""","""stickerE5g8gBRjzT6yppxfoC8Qch20181127091058235""",,"""com.whatsapp"""
"en_US","32d8d9782aa1b9a01b7a0ffb9dc539c650b55114","pop_show","1543274421","""ok""","""sticker""","""1509728""","""kIkaCeReS0003s3Y593zLK3W6MzvZKd9ouT20181127064112424""","""giphy.com""","""com.whatsapp"""
"en_US","32d8d9782aa1b9a01b7a0ffb9dc539c650b55114","pop_show","1543274783","""ok""","""sticker""","""45a0e9df-2605-473c-b5d2-b4ca2e7311b9""","""stickerP4JxaY6aghs5284ERMa2d520181127072022214""","""kikatech.com""","""com.whatsapp"""
"en_US","32d8d9782aa1b9a01b7a0ffb9dc539c650b55114","pop_show","1543274791","""baby""","""sticker""","""2c0de5c8-7963-483a-8bcc-1200c65a3f45""","""stickerBHsoEapY9z5iMP2H63o8w520181120142540240""","""tenor.com""","""com.whatsapp"""
"en_US","32d8d9782aa1b9a01b7a0ffb9dc539c650b55114","pop_show","1543276014","""ok""","""sticker""","""1721990""","""kIkaCeReS000396ieWXCFKv69wmRgUrrFni20181127072625592""","""giphy.com""","""com.whatsapp"""
"en_US","32d8d9782aa1b9a01b7a0ffb9dc539c650b55114","pop_show","1543271175","""nooo""","""sticker""","""144864""","""kIkaCeReS0001pr7f5oJA4eU9zmihRuFPsA20181120171152863""","""giphy.com""","""com.whatsapp"""
"en_US","32d8d9782aa1b9a01b7a0ffb9dc539c650b55114","pop_show","1543271251","""no""","""sticker""","""279273""","""kIkaCeReS000356RcHnb5GQHVedssRnER5920181127062623462""","""giphy.com""","""com.whatsapp"""
